SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
2023-24,A.J. Lawson,DAL,1630639,1610612742,38,259.73,120,37,15,10,3,111.0,106.6,0.549,0.177,0.078,0.98,15.34,0,0
2023-24,AJ Green,MIL,1631260,1610612749,54,580.05,244,63,30,8,4,113.4,111.3,0.618,0.153,0.07,0.46,14.12,0,0
2023-24,AJ Griffin,ATL,1631100,1610612737,18,132.48,37,14,4,1,1,109.7,119.5,0.403,0.156,0.018,-0.98,8.59,0,0
2023-24,Aaron Gordon,DEN,203932,1610612743,70,2213.83,980,457,241,54,44,119.3,111.1,0.604,0.176,0.102,8.59,16.5,0,0
2023-24,Aaron Holiday,HOU,1628988,1610612745,75,1215.29,481,117,135,41,6,110.1,107.7,0.577,0.155,0.078,3.43,14.2,0,0
2023-24,Aaron Nesmith,IND,1630174,1610612754,69,1915.59,846,262,105,62,49,118.9,115.1,0.629,0.16,0.071,-1.83,14.41,0,0
2023-24,Aaron Wiggins,OKC,1630598,1610612760,74,1150.05,495,171,78,51,18,115.4,112.2,0.66,0.162,0.091,2.24,15.04,0,0
2023-24,Al Horford,BOS,201143,1610612738,64,1724.27,556,411,167,37,60,121.1,109.0,0.648,0.119,0.106,7.27,15.84,0,0
2023-24,Alec Burks,NYK,202692,1610612752,65,1200.08,684,149,84,27,12,107.5,118.2,0.536,0.234,0.087,-4.73,19.1,0,0
2023-24,Aleksej Pokusevski,CHA,1630197,1610612766,24,329.78,116,69,29,13,10,104.5,115.5,0.525,0.167,0.092,-0.29,15.19,0,0
2023-24,Alex Caruso,CHI,1627936,1610612741,68,1929.05,683,259,223,111,68,110.4,110.2,0.609,0.147,0.088,4.32,15.01,0,0
2023-24,Alex Len,SAC,203458,1610612758,44,404.52,114,121,43,11,31,117.4,100.9,0.625,0.117,0.098,4.21,13.19,0,0
2023-24,Alperen Sengun,HOU,1630578,1610612745,63,2045.64,1331,589,312,76,46,113.9,113.2,0.585,0.27,0.149,7.19,22.79,0,0
2023-24,Amen Thompson,HOU,1641708,1610612745,58,1240.29,529,365,139,71,34,110.5,109.2,0.566,0.175,0.118,6.36,17.62,0,0
2023-24,Amir Coffey,LAC,1629599,1610612746,66,1322.11,405,130,70,37,11,116.0,118.1,0.627,0.112,0.058,-3.71,11.51,0,0
2023-24,Andre Drummond,CHI,203083,1610612741,78,1346.68,659,706,37,72,48,114.1,113.3,0.574,0.201,0.154,7.9,21.11,0,0
2023-24,Andre Jackson Jr.,MIL,1641748,1610612749,53,542.16,120,107,49,14,6,113.7,118.7,0.601,0.095,0.045,-0.36,9.2,0,0
2023-24,Andrew Nembhard,IND,1629614,1610612754,65,1611.61,598,135,262,62,5,115.2,113.9,0.57,0.163,0.075,-0.15,13.12,0,0
2023-24,Andrew Wiggins,GSW,203952,1610612744,67,1808.0,870,304,115,39,36,115.2,116.2,0.54,0.203,0.077,-3.15,15.34,0,0
2023-24,Anfernee Simons,POR,1629014,1610612757,46,1581.74,1039,167,255,23,5,109.9,120.5,0.568,0.276,0.111,-6.92,20.92,0,0
2023-24,Anthony Black,ORL,1641710,1610612753,66,1135.14,306,138,90,35,21,108.1,108.9,0.552,0.123,0.054,2.1,10.26,0,0
2023-24,Anthony Davis,LAL,203076,1610612747,74,2624.84,1810,936,258,88,176,116.3,114.0,0.619,0.259,0.168,9.65,24.83,0,0
2023-24,Anthony Edwards,MIN,1630162,1610612750,75,2635.52,1946,412,386,98,41,115.7,107.5,0.572,0.314,0.145,10.27,23.95,0,0
2023-24,Anthony Gill,WAS,1630264,1610612764,47,396.6,158,80,27,12,8,112.8,108.2,0.539,0.176,0.072,1.55,12.84,0,0
2023-24,Armoni Brooks,BKN,1629717,1610612751,10,104.02,42,18,5,1,1,127.7,114.0,0.448,0.188,0.054,-0.15,14.08,0,0
