SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
1996-97,Bimbo Coles,GSW,902,1610612744,51,1181.15,6.1,2.31,2.92,0.69,0.14,104.3,111.0,0.463,0.15,0.061,-6.83,12.24,0,0
1996-97,Bison Dele,CHI,183,1610612741,9,137.98,7.0,3.67,1.33,0.33,0.56,105.0,105.3,0.453,0.271,0.073,-0.18,16.95,0,0
1996-97,Blue Edwards,VAN,898,1610612763,61,1434.62,7.84,3.1,1.87,0.62,0.33,97.4,108.6,0.472,0.19,0.064,-7.51,13.89,0,0
1996-97,Bo Outlaw,LAC,448,1610612746,82,2197.31,7.62,5.54,1.91,1.15,1.73,104.4,100.3,0.602,0.127,0.109,7.18,14.28,0,0
1996-97,Bob Sura,CLE,682,1610612739,82,2272.34,9.21,3.76,4.76,1.11,0.4,99.5,99.7,0.519,0.193,0.114,5.86,17.04,0,0
1996-97,Bobby Hurley,SAC,310,1610612758,49,628.91,2.92,0.78,2.98,0.55,0.06,101.3,103.8,0.482,0.138,0.073,-0.74,12.33,0,0
1996-97,Bobby Phills,CLE,184,1610612739,69,2378.24,12.55,3.55,3.38,1.64,0.3,102.1,99.1,0.514,0.204,0.097,3.4,17.04,0,0
1996-97,Brad Lohaus,TOR,38,1610612761,6,44.67,1.67,1.17,0.17,0.17,0.0,73.6,108.9,0.333,0.151,0.004,-0.36,9.78,0,0
1996-97,Brent Barry,LAC,699,1610612746,59,1095.36,7.49,1.86,2.61,0.86,0.25,107.9,104.6,0.526,0.196,0.099,-1.53,17.7,0,0
1996-97,Brent Price,HOU,85,1610612745,25,391.18,5.04,1.16,2.6,0.68,0.0,105.8,100.8,0.551,0.165,0.079,0.5,14.07,0,0
1996-97,Brent Scott,IND,1064,1610612754,16,53.88,1.19,0.56,0.19,0.06,0.06,95.0,88.5,0.484,0.175,0.007,0.39,11.0,0,0
1996-97,Brett Szabo,BOS,1136,1610612738,70,664.81,2.19,2.36,0.24,0.23,0.46,96.6,107.7,0.517,0.117,0.041,-1.85,9.7,0,0
1996-97,Brian Evans,ORL,967,1610612753,14,56.93,1.43,0.57,0.5,0.07,0.14,93.1,102.3,0.455,0.16,0.067,-0.08,17.18,0,0
1996-97,Brian Grant,SAC,258,1610612758,24,610.09,10.5,5.92,1.17,0.79,1.04,99.8,106.9,0.511,0.212,0.089,-1.32,16.21,0,0
1996-97,Brian Shaw,ORL,216,1610612753,77,1868.57,7.17,2.52,4.14,0.87,0.34,97.7,107.3,0.478,0.181,0.07,-7.04,13.67,0,0
1996-97,Brooks Thompson,DEN,240,1610612743,67,1055.77,6.64,1.43,2.69,0.82,0.03,104.4,110.4,0.526,0.21,0.081,-5.96,17.8,0,0
1996-97,Bruce Bowen,MIA,1477,1610612748,1,0.55,0.0,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.091,0.0,0.0,0,0
