SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
2022-23,Isaiah Livers,DET,1630587,1610612765,52,1198.74,6.65,2.75,0.79,0.54,0.54,107.9,115.6,0.567,0.117,0.053,-2.89,10.38,0,0
2022-23,Isaiah Mobley,CLE,1630600,1610612739,12,84.24,2.58,1.67,0.25,0.33,0.25,105.9,86.1,0.521,0.166,0.111,1.27,16.34,0,0
2022-23,Isaiah Roby,NYK,1629676,1610612752,42,473.63,4.1,2.57,0.9,0.43,0.17,102.5,112.9,0.497,0.173,0.07,-0.49,13.76,0,0
2022-23,Isaiah Stewart,DET,1630191,1610612765,50,1414.06,11.34,8.06,1.4,0.4,0.68,108.9,116.9,0.56,0.17,0.091,-1.29,14.77,0,0
2022-23,Isaiah Todd,WAS,1630225,1610612764,6,61.4,1.5,2.0,0.67,0.17,0.0,97.1,103.7,0.226,0.143,0.012,0.05,7.79,0,0
2022-23,Ish Smith,DEN,202397,1610612743,43,397.91,2.51,1.26,2.33,0.19,0.16,102.3,107.5,0.407,0.187,0.072,0.47,11.37,0,0
2022-23,Ish Wainright,PHX,1630688,1610612756,60,915.13,4.18,2.32,0.88,0.63,0.37,112.7,106.6,0.522,0.117,0.051,3.3,10.98,0,0
2022-23,Ivica Zubac,LAC,1627826,1610612746,76,2169.41,10.76,9.95,1.01,0.38,1.29,112.8,113.4,0.661,0.149,0.109,6.64,15.15,0,0
2022-23,JD Davison,BOS,1631120,1610612738,12,65.71,1.58,0.75,0.92,0.17,0.17,102.9,108.7,0.478,0.157,0.069,0.16,12.3,0,0
2022-23,JT Thor,CHA,1630550,1610612766,69,968.78,3.8,2.2,0.52,0.32,0.33,102.7,110.2,0.506,0.13,0.051,0.16,9.68,0,0
2022-23,Ja Morant,MEM,1629630,1610612763,61,1948.35,26.16,5.85,8.08,1.08,0.26,115.8,108.5,0.557,0.338,0.175,8.71,26.48,0,0
2022-23,JaMychal Green,GSW,203210,1610612744,57,796.7,6.42,3.6,0.89,0.44,0.4,108.3,116.4,0.65,0.169,0.097,0.32,15.01,0,0
2022-23,JaVale McGee,DAL,201580,1610612742,42,354.54,4.43,2.55,0.26,0.1,0.62,106.1,113.4,0.65,0.214,0.105,0.49,16.14,0,0
2022-23,Jabari Smith Jr.,HOU,1631095,1610612745,79,2450.55,12.78,7.2,1.28,0.54,0.94,109.1,120.4,0.514,0.183,0.077,-12.42,14.57,0,0
2022-23,Jabari Walker,POR,1631133,1610612757,56,619.16,3.86,2.34,0.61,0.18,0.23,104.8,113.8,0.496,0.164,0.06,0.12,11.83,0,0
2022-23,Jack White,DEN,1631298,1610612743,17,66.03,1.24,1.0,0.24,0.18,0.12,90.4,104.5,0.517,0.133,0.087,0.44,13.37,0,0
2022-23,Jacob Gilyard,MEM,1631367,1610612763,1,40.78,3.0,4.0,7.0,3.0,0.0,101.1,116.1,0.5,0.052,0.056,-0.09,8.58,0,0
2022-23,Jaden Hardy,DAL,1630702,1610612742,48,708.39,8.75,1.85,1.35,0.35,0.15,112.5,115.6,0.571,0.248,0.09,-1.41,18.67,0,0
2022-23,Jaden Ivey,DET,1631093,1610612765,74,2304.32,16.27,3.89,5.23,0.82,0.23,107.1,120.1,0.528,0.251,0.081,-9.68,15.9,0,0
2022-23,Jaden McDaniels,MIN,1630183,1610612750,79,2416.49,12.06,3.89,1.87,0.94,0.96,113.6,111.6,0.611,0.156,0.069,2.18,12.4,0,0
2022-23,Jaden Springer,PHI,1630531,1610612755,16,89.27,2.62,0.88,0.5,0.44,0.19,108.8,110.9,0.545,0.188,0.085,0.27,16.89,0,0
2022-23,Jae Crowder,MIL,203109,1610612749,18,339.71,6.89,3.83,1.5,0.67,0.33,111.0,111.8,0.624,0.125,0.096,0.79,15.31,0,0
2022-23,Jae'Sean Tate,HOU,1630256,1610612745,31,677.49,9.13,3.81,2.71,0.68,0.23,107.5,114.8,0.546,0.178,0.076,-0.2,13.8,0,0
